sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
0.0,0.5,-1.0781662257428115,0.48133030440302826,0.8033148332396642
0.0,0.6408163265306123,-1.1150273725847164,0.3721998088874381,0.7832271762933378
0.0,0.7816326530612245,-1.1535033935147103,0.26742046832880456,0.7614097470045395
0.0,0.9224489795918367,-1.1937403370056825,0.1665036391088047,0.7378318341358785
0.0,1.063265306122449,-1.235904685853556,0.06895215165789206,0.7124246422467044
0.0,1.2040816326530612,-1.280187281387948,-0.025706872157866597,0.6850837870965045
0.0,1.3448979591836734,-1.3268082136981643,-0.11791103387377219,0.6556693195262022
0.0,1.4857142857142858,-1.376022968340869,-0.20806095142310943,0.6240035355316413
0.0,1.626530612244898,-1.4281302221741596,-0.29652247879717625,0.5898665946976793
0.0,1.76734693877551,-1.4834818229864808,-0.3836303725335768,0.55298966188192
0.0,1.9081632653061225,-1.5424956849205895,-0.4696922675200732,0.5130450493346994
0.0,2.0489795918367344,-1.6056726034908924,-0.5549923469253245,0.46963239597678336
0.0,2.1897959183673468,-1.673618358861135,-0.639794421345778,0.4222594282409544
0.0,2.330612244897959,-1.7470729350545264,-0.7243441915852517,0.37031493980006125
0.0,2.4714285714285715,-1.826949163579644,-0.8088704495287165,0.3130302270606846
0.0,2.6122448979591835,-1.914383283206059,-0.8935849090773781,0.24942276430225274
0.0,2.753061224489796,-2.010798690497006,-0.97868025901799,0.17821166190359167
0.0,2.8938775510204082,-2.1179779638478085,-1.0643256520902045,0.09768599644899595
0.0,3.03469387755102,-2.2381155512570925,-1.1506587389062315,0.005491054672700096
0.0,3.1755102040816325,-2.3737464877588104,-1.2377727921416517,-0.1017375328107826
0.0,3.316326530612245,-2.5271892337709465,-1.3256963132960053,-0.22904489576601528
0.0,3.457142857142857,-2.6983028692119686,-1.4143629630276633,-0.3844973822163902
0.0,3.5979591836734692,-2.877042822744025,-1.5035674106807537,-0.5822022731538942
0.0,3.7387755102040816,-3.0255167140696124,-1.5929032549480266,-0.8504008893826789
0.0,3.8795918367346935,-3.0705305671561693,-1.6816795756197596,-1.260345117889355
0.0,4.020408163265306,-2.9793300180804994,-1.768818583205633,-2.1185584485324753
0.0,4.161224489795918,-2.812796001982165,-1.8527470456539097,-2.361583256613827
0.0,4.302040816326531,-2.6344193185666525,-1.9313203042943856,-1.2932551610643528
0.0,4.442857142857143,-2.4693394827486044,-2.001847248593052,-0.8130408128294453
0.0,4.5836734693877546,-2.3225583602427986,-2.061312879901188,-0.4942607370736423
