mode,model,metric,paper_value,unified_value,status,warning
Lag,M1,startup_data,1.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M1,time_correction,1.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M1,wls_orig,46.23,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M1,wls_trunc,48.25,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M1,mass_obj,8.97,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M1,permeate_obj,2.69,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M1,retentate_orig,34.57,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M1,retentate_trunc,36.58,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M2,startup_data,1.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M2,time_correction,0.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M2,wls_orig,93.9,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M2,wls_trunc,95.88,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M2,mass_obj,9.11,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M2,permeate_obj,50.38,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M2,retentate_orig,34.4,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M2,retentate_trunc,36.39,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M3,startup_data,0.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M3,time_correction,1.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M3,wls_orig,,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M3,wls_trunc,246.2,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M3,mass_obj,11.55,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M3,permeate_obj,68.6,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M3,retentate_orig,,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M3,retentate_trunc,166.05,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M4,startup_data,0.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M4,time_correction,0.0,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M4,wls_orig,,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M4,wls_trunc,217.26,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
Lag,M4,mass_obj,11.55,,WARNING,Unified value missing in current runtime (Pyomo overflow issue in run_DATA2_model_variations.py).
