dataset_id,metric,unified_value,target_id,unified_text
DATA1_511.12,objective,955966.5977880238,D1-M-T1,
DATA1_511.12,theta.Lp,3.2942753885871148,D1-M-T1,
DATA1_511.12,theta.B,0.2834576796924716,D1-M-T1,
DATA1_511.12,theta.sigma,0.9800573680707191,D1-M-T1,
DATA1_511.12,covariance.method,,D1-M-T1,None
DATA1_511.12,rmse.mass,,D1-M-T2,
DATA1_511.12,rmse.cF,,D1-M-T2,
DATA1_511.12,rmse.cV,1.2004516431157153,D1-M-T2,
DATA1_511.12,nrmse.mass,0.033520024498215124,D1-M-T2,
DATA1_511.12,nrmse.cF,0.017655370818211138,D1-M-T2,
DATA1_511.12,nrmse.cV,0.08376972756760337,D1-M-T2,
DATA1_511.12,nrmse.pass_threshold,0.05,D1-M-T2,
