dataset_id,metric,unified_value
DATA1_511.12,objective,956833.3705783212
DATA1_511.12,theta.Lp,3.293100496896288
DATA1_511.12,theta.B,0.28367479335137724
DATA1_511.12,theta.sigma,0.9804205533560083
DATA1_511.12,nrmse.mass,
DATA1_511.12,nrmse.cF,
DATA1_511.12,nrmse.cV,
DATA2_270511.123,objective,4910894085524.331
DATA2_270511.123,theta.Lp,0.4999999991758873
DATA2_270511.123,theta.beta_0,0.9755965391244111
DATA2_270511.123,theta.beta_1,4.760298664496029e-10
DATA2_270511.123,nrmse.mass,
DATA2_270511.123,nrmse.cF,
DATA2_270511.123,nrmse.cV,
DATA2_270611.123,theta.Lp,11.113241068147595
DATA2_270611.123,theta.sigma,1.0
DATA2_270611.123,theta.beta_0,1.0649294788103598
DATA2_270611.123,theta.beta_1,0.015171421224603474
DATA2_270611.123,nrmse.mass,
DATA2_270611.123,nrmse.cF,
DATA2_270611.123,nrmse.cV,
