time_min,mass_g
5.666666666666667,0.0
5.75,0.02
5.833333333333333,0.03
5.916666666666667,0.06
6.0,0.08
6.083333333333333,0.1
6.166666666666667,0.15
6.25,0.16
6.333333333333333,0.17
6.416666666666667,0.21
6.5,0.22
6.583333333333333,0.26
6.666666666666667,0.26
6.75,0.3
6.833333333333333,0.31
6.916666666666667,0.35
7.0,0.35
7.083333333333333,0.38
7.166666666666667,0.39
7.25,0.43
7.333333333333333,0.47
7.416666666666667,0.48
7.5,0.48
7.583333333333333,0.52
7.666666666666667,0.54
7.75,0.57
7.833333333333333,0.58
7.916666666666667,0.62
8.0,0.63
8.083333333333334,0.64
8.166666666666666,0.65
8.25,0.67
8.333333333333334,0.69
8.416666666666666,0.74
8.5,0.74
8.583333333333334,0.78
8.666666666666666,0.79
8.75,0.82
8.833333333333334,0.83
8.916666666666666,0.87
9.0,0.87
9.083333333333334,0.9
9.166666666666666,0.91
9.25,0.97
9.333333333333334,0.96
9.416666666666666,1.01
