dataset_id,metric,unified_value,target_id,unified_text
DATA1_511.12,objective,959040.479812693,D1-M-T1,
DATA1_511.12,theta.Lp,3.290046704346101,D1-M-T1,
DATA1_511.12,theta.B,0.2842423669200608,D1-M-T1,
DATA1_511.12,theta.sigma,0.9813639862187937,D1-M-T1,
DATA1_511.12,covariance.method,,D1-M-T1,None
DATA1_511.12,rmse.mass,,D1-M-T2,
DATA1_511.12,rmse.cF,,D1-M-T2,
DATA1_511.12,rmse.cV,1.2120085373668699,D1-M-T2,
DATA1_511.12,nrmse.mass,0.03382762279251533,D1-M-T2,
DATA1_511.12,nrmse.cF,0.017582912448720688,D1-M-T2,
DATA1_511.12,nrmse.cV,0.08457618894278557,D1-M-T2,
DATA1_511.12,nrmse.pass_threshold,0.05,D1-M-T2,
