sigma,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
0.0,0.5,7.2294531881738555,4.655297807560589,10.178404102407582
0.0,1.3625,6.236491712813039,3.0529884166385224,8.172014661219036
0.0,2.225,8.135790530510878,3.611631178734138,8.623094172246056
0.0,3.0875000000000004,9.219282630791021,3.937279635930708,10.381743897383755
0.0,3.95,9.929982947750116,4.088728663637297,11.33133685142108
0.0,4.8125,10.456107918085511,4.15450324779621,11.974409756830896
0.0,5.675000000000001,10.873260211286627,4.174019468640182,12.459486414419894
0.0,6.5375000000000005,11.21868373032117,4.167267998340754,12.848372380591663
0.0,7.4,11.513367687034554,4.146236439727394,13.172553253375227
0.125,0.5,7.2627403414243705,4.688483838414651,10.19623588941698
0.125,1.3625,5.918550997859923,2.8565843461682823,8.356810642103417
0.125,2.225,7.603183189707801,3.363542191560588,8.023696646668895
0.125,3.0875000000000004,8.626308852788082,3.7062040384716886,9.915983801170988
0.125,3.95,9.256192800189968,3.8725292060532666,10.878292253912262
0.125,4.8125,9.692249757855324,3.957280064197566,11.50006372898834
0.125,5.675000000000001,10.015400430019886,4.004210923489996,11.951379403743559
0.125,6.5375000000000005,10.26544600965033,4.035275519979655,12.300787207217498
0.125,7.4,10.464794338314361,4.062513290729579,12.58258217977535
0.25,0.5,7.294451050929604,4.722203758209644,10.2134393047453
0.25,1.3625,5.7023667684402914,2.657609749841519,8.530361690682728
0.25,2.225,7.031508613512814,3.094228583723228,7.343442423265772
0.25,3.0875000000000004,8.0140201328493,3.477654747552298,9.413837579313636
0.25,3.95,8.590202538520872,3.6868896837088383,10.419641987616945
0.25,4.8125,8.968266440428662,3.8233498554954024,11.04104711530037
0.25,5.675000000000001,9.23485462786187,3.933442333978435,11.478337862799952
0.25,6.5375000000000005,9.432068722409834,4.037390883979004,11.80879367443168
0.25,7.4,9.583142178429645,4.143068969002385,12.07002512695595
0.375,0.5,7.324645137334447,4.75634016277711,10.23004206007423
0.375,1.3625,5.620126282932251,2.463405638017399,8.689263804426664
0.375,2.225,6.406690321912208,2.805506025408609,6.652061974308295
0.375,3.0875000000000004,7.3597345846320685,3.2694760452479015,8.853223003503192
0.375,3.95,7.905887454412274,3.5608416021941207,9.942314218225642
0.375,4.8125,8.25021216933157,3.7838660056940854,10.583343227800993
0.375,5.675000000000001,8.48498488368972,3.981715073838612,11.021492773022128
0.375,6.5375000000000005,8.654389558254405,4.168267923213687,11.34595619120329
0.375,7.4,8.782120379831289,4.346304607242008,11.598572189251025
0.5,0.5,7.353387018604352,4.790785276186837,10.246070533585952
0.5,1.3625,5.660564755005306,2.285203796331213,8.833170796677534
0.5,2.225,5.722767976467106,2.5020020276277766,6.299172003559762
0.5,3.0875000000000004,6.630046759658993,3.1011039608835467,8.197851636311974
0.5,3.95,7.171811483654918,3.5080434494163955,9.430891249340895
0.5,4.8125,7.507425802060563,3.8288956587689507,10.114977101808538
0.5,5.675000000000001,7.733878015654159,4.105207310227312,10.568171109116735
0.5,6.5375000000000005,7.897640542333956,4.350324371148051,10.897251861247431
0.5,7.4,8.02287418550992,4.569244618878697,11.149988114702271
0.625,0.5,7.380743455204552,4.825440958590457,10.261549830094612
0.625,1.3625,5.779461588873514,2.138072235346163,8.96301113301361
0.625,2.225,5.028752852948815,2.1934118606287876,6.568808454975967
0.625,3.0875000000000004,5.766976408637781,2.9865739734103576,7.378639761946184
0.625,3.95,6.337488408531124,3.51840263017121,8.863761755985953
0.625,4.8125,6.7001580932893186,3.9203707363737275,9.623141693038708
0.625,5.675000000000001,6.949553099850444,4.247350252529452,10.10744449161011
0.625,6.5375000000000005,7.134966733732448,4.521873662580051,10.451535429755683
0.625,7.4,7.281553116355365,4.756019118640742,10.71206054976116
0.75,0.5,7.406781894408494,4.860218528315712,10.276503839811115
0.75,1.3625,5.932733613652403,2.038495956007236,9.080151040791936
0.75,2.225,4.557879427745228,1.8978406646932129,7.0676407325355
0.75,3.0875000000000004,4.660422807571069,2.9282356718456253,6.2421313615013085
0.75,3.95,5.30011215839109,3.5676826861661257,8.20632921955537
0.75,4.8125,5.765276822471486,4.022871052084245,9.091919096992388
0.75,5.675000000000001,6.096949904530086,4.375184331326407,9.628141873037574
0.75,6.5375000000000005,6.349258095699979,4.659681495554925,9.998946358485743
0.75,7.4,6.551832561193268,4.895309447614669,10.275024631481116
0.875,0.5,7.431569269446829,4.895038440164588,10.290955295445071
0.875,1.3625,6.09241809466918,1.999019851044746,9.18602299955902
0.875,2.225,4.602293025295507,1.6444915994090763,7.521431409633851
0.875,3.0875000000000004,3.2566494522427276,2.916781065001636,4.603461981586929
0.875,3.95,3.7855335978641937,3.6325973438814705,7.39660448339026
0.875,4.8125,4.6068967310404805,4.11635017615698,8.499818391539346
0.875,5.675000000000001,5.16728004250319,4.477522104043279,9.11778173886915
0.875,6.5375000000000005,5.5680961570047325,4.761721604879668,9.52990835354662
0.875,7.4,5.8740396755703745,4.992747608263014,9.83031271528262
1.0,0.5,7.455171143214967,4.92982985764494,10.304925827448018
1.0,1.3625,6.244837878260011,2.022505783363167,9.281972438351636
1.0,2.225,4.964626963367733,1.4698430667047764,7.891440247486308
1.0,3.0875000000000004,3.275100534226528,2.937289056597723,5.119863097555107
1.0,3.95,1.8114727352580298,3.697841200435353,6.321250640224855
1.0,4.8125,3.430130695383265,4.1930769121617875,7.818452014382953
1.0,5.675000000000001,4.385525540301215,4.553902083004409,8.562746303356613
1.0,6.5375000000000005,4.973678745499228,4.833020914717781,9.035262157637167
1.0,7.4,5.38619761166734,5.057175516065298,9.370454470082619
