B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration,panel_id
1e-06,0.366,-1.0390017044418172,-0.4208857745839348,0.3031918486950688,A
1e-06,0.507918367346939,-1.0721208177180537,-0.342182440563574,0.2758111134023483,A
1e-06,0.649836734693878,-1.1064608420007405,-0.2877913347853166,0.2470077067981705,A
1e-06,0.791755102040816,-1.1421248022020365,-0.24921917690162,0.2166422416448255,A
1e-06,0.933673469387755,-1.1792245955277918,-0.2211542600974243,0.1845579237452717,A
1e-06,1.07559183673469,-1.2178839768324743,-0.2002454646613047,0.1505762237339856,A
1e-06,1.21751020408163,-1.2582415148665445,-0.1843283470834422,0.1144917869281695,A
1e-06,1.35942857142857,-1.300453797633048,-0.1719699489840368,0.0760661883132339,A
1e-06,1.50134693877551,-1.344699126130259,-0.162199538750167,0.0350200409184202,A
1e-06,1.64326530612245,-1.3911819368851992,-0.1543456737756678,-0.0089772065107751,A
1e-06,1.78518367346939,-1.44013822662369,-0.147935076531562,-0.0563207252498648,A
1e-06,1.92710204081633,-1.4918423167485244,-0.1426283476911757,-0.1074883994621606,A
1e-06,2.06902040816327,-1.5466153918673369,-0.1381781983908896,-0.1630656623700877,A
1e-06,2.2109387755102,-1.6048363875704268,-0.1344017757840904,-0.2237803549100633,A
1e-06,2.35285714285714,-1.6669559890634724,-0.131161997056704,-0.2905529188182692,A
1e-06,2.49477551020408,-1.7335147460805576,-0.1283547557282443,-0.3645708067314263,A
1e-06,2.63669387755102,-1.8051665852824423,-0.1259000226004676,-0.4474026777027322,A
1e-06,2.77861224489796,-1.8827092368532052,-0.1237355677856088,-0.5411809520152115,A
1e-06,2.9205306122449,-1.9671229825427945,-0.1218124763998443,-0.6489086219389788,A
1e-06,3.06244897959184,-2.0596178157763805,-0.1200919051476134,-0.775007920771155,A
1e-06,3.20436734693878,-2.161683959564115,-0.118542710032104,-0.9263831231883556,A
1e-06,3.34628571428571,-2.275123960618854,-0.1171396920237705,-1.114710917866817,A
1e-06,3.48820408163265,-2.401992708938418,-0.1158622862731451,-1.3621818832730843,A
1e-06,3.63012244897959,-2.544212378226557,-0.1146935732908761,-1.719711056398896,A
1e-06,3.77204081632653,-2.702149191206809,-0.1136195255166508,-2.3565000282852235,A
1e-06,3.91395918367347,-2.8701539250609867,-0.1126284285513327,-3.7024799769785544,A
1e-06,4.05587755102041,-3.0253391514350216,-0.111710432509687,-2.137386218988973,A
