# source: NF270_MC5.xlsx / 07.23.24_NaCl
# calibration: cond = 111.334460 + 93.003707 * c_mM  (fit from 14 vial points, R^2=0.996188, ICP molar mass = 22.99 g/mol [Na+])
# apply_cp: False (non-CP, bulk == interfacial)
c_int_mM,ionic_strength_mM,rejection,c_p_mM,Jw_m3_m2_s,B_um_s,time_s,ret_cond_uS_cm,perm_cond_uS_cm
-0.06821727611077175,-0.06821727611077175,1.5863617294693457,0.04,-7.12322666285671e-08,0.02632935116779446,0.329,104.99,49.6
-0.06843232130155447,-0.06843232130155447,1.584519116686626,0.04,-9.552413745083286e-08,0.035238252323373784,7.146,104.97,49.22
-0.06800223091998889,-0.06800223091998889,1.5882159961349478,0.04,-8.534943443594731e-08,0.03161024868057646,14.209,105.01,49.18
-0.07047525061399061,-0.07047525061399061,1.5675751366829376,0.04,-7.655433631337772e-08,0.02771818516379373,20.74,104.78,49.26
-0.0696150698508596,-0.0696150698508596,1.5745882333479564,0.04,-6.892007585462229e-08,0.025149854284960547,27.19,104.86,49.22
-0.07069029580477332,-0.07069029580477332,1.565848530475367,0.04,-6.226595851662837e-08,0.022500963815815647,33.692,104.76,48.92
-0.0694000246600769,-0.0694000246600769,1.5763686712781593,0.04,-5.644565938003306e-08,0.02063826203162883,39.997,104.88,48.76
-0.07090534099555618,-0.07090534099555618,1.5641323973395305,0.04,-7.196476237486055e-08,0.025955382032590867,46.477,104.74,48.5
-0.06660443717990104,-0.06660443717990104,1.6005605886580578,0.04,-6.505276845626319e-08,0.024409028433397366,52.954,105.14,49.33
-0.06896993427851132,-0.06896993427851132,1.5799628550967408,0.04,-5.895593092321367e-08,0.021641173343293345,59.26,104.92,50.05
-0.06370132710433389,-0.06370132710433389,1.627930402995931,0.04,-5.3560653084962564e-08,0.020659582507010815,65.722,105.41,51.07
-0.06165839779189775,-0.06165839779189775,1.6487356375201858,0.04,-4.876992769741605e-08,0.019189729036356323,72.169,105.6,51.47
-0.06015308145641847,-0.06015308145641847,1.6649700901687043,0.04,-4.4518426003693076e-08,0.017780152285405314,78.643,105.74,51.83
-0.058755287716330463,-0.058755287716330463,1.6807897902418474,0.04,-2.5979448701641364e-08,0.01052275753629153,85.057,105.87,51.9
-0.057572539167025316,-0.057572539167025316,1.694775679147221,0.04,1.7855869074987657e-08,-0.007320038702455765,91.46,105.98,52.06
-0.05703492619006846,-0.05703492619006846,1.701324656171208,0.04,8.212715269169315e-08,-0.03385467724510884,97.839,106.03,52.089999999999996
-0.05359420313754447,-0.05359420313754447,1.7463493747139736,0.04,1.7502612528750627e-07,-0.07480212210591326,104.343,106.35,52.32
-0.052088886802065186,-0.052088886802065186,1.7679181195021068,0.04,2.907672770674244e-07,-0.12629853054577425,110.941,106.49,52.39
-0.051766319015890884,-0.051766319015890884,1.7727031931268102,0.04,4.475271145527174e-07,-0.19507249254499165,118.018,106.52000000000001,52.56
-0.04950834451267203,-0.04950834451267203,1.8079446079996009,0.04,5.827328818539412e-07,-0.2604149970716715,125.067,106.73,52.589999999999996
-0.04757293779562717,-0.04757293779562717,-12.245563314444484,-0.6301303596261086,7.306930966899222e-07,-0.790363123941998,131.78,106.91000000000001,52.73
2.016645848528031,2.016645848528031,1.3120913381582382,-0.629377701458369,8.889034774018735e-07,-0.21143274685836333,138.751,298.89,52.8
