# source: NF270_MC5.xlsx / 07.23.24_NaCl
# calibration: cond = 111.334460 + 93.003707 * c_mM  (fit from 14 vial points, R^2=0.996188, ICP molar mass = 22.99 g/mol [Na+])
# salt: NaCl, I multiplier = 1.0, CP solution D_s = 1.6071e-09 m^2/s, k = 2.5473e-05 m/s
# apply_cp: True (CP-corrected retentate-side interfacial concentration)
c_int_mM,ionic_strength_mM,rejection,c_p_mM,Jw_m3_m2_s,B_um_s,time_s,ret_cond_uS_cm,perm_cond_uS_cm
-0.06791508601474489,-0.06791508601474489,1.5889707625683593,0.04,-7.12322666285671e-08,0.026403080147231438,0.329,104.99,49.6
-0.06802646547823674,-0.06802646547823674,1.5880064430629126,0.04,-9.552413745083286e-08,0.03537064256539148,7.146,104.97,49.22
-0.06764097085261889,-0.06764097085261889,1.5913575676959892,0.04,-8.534943443594731e-08,0.03171633765838364,14.209,105.01,49.18
-0.0701437408611485,-0.0701437408611485,1.5702575812028776,0.04,-7.655433631337772e-08,0.02780161113644582,20.74,104.78,49.26
-0.069318898819724,-0.069318898819724,1.5770432116070834,0.04,-6.892007585462229e-08,0.025217991252647814,27.19,104.86,49.22
-0.0704200596265844,-0.0704200596265844,1.5680199677777542,0.04,-6.226595851662837e-08,0.022556031477323133,33.692,104.76,48.92
-0.06915787669115972,-0.06915787669115972,1.5783867567049394,0.04,-5.644565938003306e-08,0.02068404446515013,39.997,104.88,48.76
-0.07059246446985384,-0.07059246446985384,1.5666327178176616,0.04,-7.196476237486055e-08,0.02602881225943826,46.477,104.74,48.5
-0.06633254257930724,-0.06633254257930724,1.6030222639540157,0.04,-6.505276845626319e-08,0.024471442844600136,52.954,105.14,49.33
-0.06871802413248879,-0.06871802413248879,1.582088913425097,0.04,-5.895593092321367e-08,0.021691318028873394,59.26,104.92,50.05
-0.06348351218555498,-0.06348351218555498,1.6300848617682748,0.04,-5.3560653084962564e-08,0.02070306735972534,65.722,105.41,51.07
-0.06146395419708684,-0.06146395419708684,1.6507879377844494,0.04,-4.876992769741605e-08,0.019226503868628567,72.169,105.6,51.47
-0.05997820207155654,-0.05997820207155654,1.666908953894255,0.04,-4.4518426003693076e-08,0.017811252885636127,78.643,105.74,51.83
-0.058654621721842735,-0.058654621721842735,1.6819581957188579,0.04,-2.5979448701641364e-08,0.010533494832057871,85.057,105.87,51.9
-0.05764095785824817,-0.05764095785824817,1.6939509939853676,0.04,1.7855869074987657e-08,-0.007314909425985027,91.46,105.98,52.06
-0.05734827573447534,-0.05734827573447534,1.6974926357891125,0.04,8.212715269169315e-08,-0.03374570410089279,97.839,106.03,52.089999999999996
-0.05423949863272919,-0.05423949863272919,1.7374699436447814,0.04,1.7502612528750627e-07,-0.07428992209290895,104.343,106.35,52.32
-0.053146063772021725,-0.053146063772021725,1.7526427577324672,0.04,2.907672770674244e-07,-0.12486508405941342,110.941,106.49,52.39
-0.05339275558479952,-0.05339275558479952,1.7491653045790292,0.04,4.475271145527174e-07,-0.19167530147297906,118.018,106.52000000000001,52.56
-0.05157955367995031,-0.05157955367995031,1.7755010880512632,0.04,5.827328818539412e-07,-0.2545253207459211,125.067,106.73,52.589999999999996
-0.030620531272048,-0.030620531272048,-19.578688006021768,-0.6301303596261086,7.306930966899222e-07,-0.7680139374155717,131.78,106.91000000000001,52.73
2.1106098996879923,2.1106098996879923,1.298197076376553,-0.629377701458369,8.889034774018735e-07,-0.2041819558568353,138.751,298.89,52.8
2.337284170784163,2.337284170784163,1.2671612078136256,-0.6244316620703656,1.054570780826302e-06,-0.22233982684541867,145.328,317.53999999999996,53.260000000000005
2.8861265081560203,2.8861265081560203,1.2082719718528507,-0.6010992588704368,1.2165448008100348e-06,-0.20969797397807743,152.437,364.63,55.43
3.245086220523352,3.245086220523352,1.165949707267194,-0.5385211083526553,1.3749052242903947e-06,-0.19569036131576423,159.119,394.65,61.25
4.940751502119192,4.940751502119192,1.0949372805996487,-0.4690615117298256,1.5376763735559173e-06,-0.13332527436437275,165.991,541.37,67.71000000000001
4.2522471987710455,4.2522471987710455,1.0868436207832306,-0.36928054320662757,1.7704746253486044e-06,-0.1414687670148019,172.766,477.95,76.99000000000001
4.70549521689696,4.70549521689696,1.057570426902306,-0.2708973684235176,2.007444957722396e-06,-0.10927826673205192,179.567,513.89,86.14
5.364332233450905,5.364332233450905,1.0285315295947113,-0.15305260387456818,2.2476733983295733e-06,-0.062350602036434895,186.467,566.9,97.10000000000001
5.762704017176828,5.762704017176828,1.0054752197906165,-0.031552071082312186,2.5168122903855047e-06,-0.013705062233612628,193.341,596.5899999999999,108.39999999999999
6.25356212553782,6.25356212553782,0.9785497855905183,0.1341402484158001,2.7878387828877393e-06,0.061110574558987295,200.191,633.9399999999999,123.81
7.05664339992923,7.05664339992923,0.9609694123465511,0.2754249387600695,3.0851259906496204e-06,0.12530500851837603,206.987,695.69,136.95
7.562137527092011,7.562137527092011,0.9429899740196118,0.4311176568867838,3.365078630415021e-06,0.203441420833197,213.783,732.57,151.43
8.042600402426398,8.042600402426398,0.9265693138659452,0.590573665852196,3.661688143517874e-06,0.29018905414166585,220.568,766.5300000000001,166.26
8.509010402499023,8.509010402499023,0.9055617646105462,0.8035759273225144,3.9652347488065185e-06,0.41352206687224674,227.45,799.4,186.07000000000002
