# source: NF270_MC5.xlsx / 07.23.24_SNaCl
# calibration: cond = 177.017283 + 93.210448 * c_mM  (fit from 14 vial points, R^2=0.996446, ICP molar mass = 22.99 g/mol [Na+])
# apply_cp: False (non-CP, bulk == interfacial)
c_int_mM,ionic_strength_mM,rejection,c_p_mM,Jw_m3_m2_s,B_um_s,time_s,ret_cond_uS_cm,perm_cond_uS_cm
-0.8042798301450381,-0.8042798301450381,1.0497339340124776,0.04,-1.185818572083395e-07,0.005618130528498752,0.19,102.05,28.830000000000002
-0.8048162506997052,-0.8048162506997052,1.04970078569515,0.04,-9.240985438403029e-08,0.004375382424639362,6.571,102.0,28.64
-0.8048162506997052,-0.8048162506997052,1.04970078569515,0.04,-7.069336913039302e-08,0.0033471595306952197,13.171,102.0,28.69
-0.8048162506997052,-0.8048162506997052,1.04970078569515,0.04,-5.273900198223213e-08,0.0024970638023855203,20.188,102.0,28.65
-0.8049235348106386,-0.8049235348106386,1.0496941613334863,0.04,-3.776907355362185e-08,0.0017880469414116404,26.757,101.99,28.819999999999997
-0.8048162506997052,-0.8048162506997052,1.04970078569515,0.04,-2.530700194565218e-08,0.0011982251489453272,33.815,102.0,29.11
-0.8033142731466375,-0.8033142731466375,1.0497937125445527,0.04,-1.4875390828435266e-08,0.0007055680807076152,40.508,102.14,30.110000000000003
-0.8028851367029038,-0.8028851367029038,1.0498203269327695,0.04,-6.160198578428648e-09,0.0002923386976557858,47.496,102.18,32.33
-0.8007394544842359,-0.8007394544842359,1.0499538267734845,0.04,1.1536729613473616e-09,-5.4888489183850634e-05,54.075,102.38,34.29
-0.7988083404874347,-0.7988083404874347,1.0500745898266308,0.04,7.2655720308542955e-09,-0.0003464711391225435,61.082,102.56,35.28
-0.794624260161032,-0.794624260161032,1.0503382567150592,0.04,-4.279818797527217e-09,0.00020511355836704147,68.146,102.95,36.5
-0.794087839606365,-0.794087839606365,1.0503722611088318,0.04,1.7472292969851001e-09,-8.379114112536054e-05,74.988,103.0,37.14
-0.7917275891658301,-0.7917275891658301,1.0505224278493872,0.04,6.8538042171926605e-09,-0.0003296177405425057,81.987,103.22000000000001,37.62
-0.7900110433908958,-0.7900110433908958,1.0506322036060554,0.04,1.1185057793991452e-08,-0.0005390317578569287,88.723,103.38,37.98
-0.7874362247284941,-0.7874362247284941,1.0507977646237852,0.04,5.515487957973855e-08,-0.0026663023895448362,95.598,103.62,38.260000000000005
-0.7855051107316929,-0.7855051107316929,1.0509226476741065,0.04,1.3122881903401647e-07,-0.0063587162491435464,102.335,103.8,38.66
-0.7832521444020915,-0.7832521444020915,1.0510691228691555,0.04,2.3320546886419138e-07,-0.011330937693873265,109.314,104.01,38.65
-0.7812137462943568,-0.7812137462943568,1.0512023760331122,0.04,3.443377835964968e-07,-0.0167721392950513,116.042,104.2,38.629999999999995
-0.7789607799647554,-0.7789607799647554,1.0513504672235356,0.04,4.734773916304957e-07,-0.02312576637190719,122.931,104.41,38.67
-0.7768150977460875,-0.7768150977460875,1.0514923050749905,0.04,6.169959519108287e-07,-0.03021471829369276,129.89,104.61,38.64
-0.7745621314164861,-0.7745621314164861,-0.915546919358067,-1.4837101046862682,7.617117015001389e-07,-1.5936862135592378,136.461,104.82,38.72
-0.7726310174196848,-0.7726310174196848,-0.9163078262297539,-1.4805988654691993,9.167236627912365e-07,-1.917177480328945,143.568,105.0,39.010000000000005
-0.7706999034228836,-0.7706999034228836,-0.9106691860336249,-1.4725525571491944,1.0890196604266308e-06,-2.2848651739547674,150.235,105.17999999999999,39.76
1.4716452991961355,1.4716452991961355,1.999595881154016,-1.4710505795961266,1.2661040434129792e-06,-0.6329240817287816,157.209,314.19,39.9
1.4845193925081435,1.4845193925081435,1.9885422927725578,-1.4675102039353247,1.4290324791288665e-06,-0.7103992952520406,163.813,315.39,40.230000000000004
1.4921365643844147,1.4921365643844147,1.9616384106260014,-1.4348958342115705,1.6040965141129056e-06,-0.786363487769379,170.915,316.09999999999997,43.27
1.498573611040419,1.498573611040419,1.921211196966087,-1.380502789968336,1.8642767237152734e-06,-0.8939114007048322,177.485,316.7,48.34
1.5036159642542892,1.5036159642542892,1.8753114855767208,-1.3161323234082953,2.130190285765791e-06,-0.9942775042628894,184.559,317.17,54.339999999999996
3.5209863862459665,3.5209863862459665,1.353412117142711,-1.2443592531938499,2.400852335644911e-06,-0.6269267846357113,191.165,505.21000000000004,61.03
3.5454471635387814,3.5454471635387814,1.331698434720281,-1.1760192745292732,2.6740334907139186e-06,-0.6660462309890162,198.147,507.49,67.4
3.554888165300921,3.554888165300921,1.3075190807855268,-1.0931959408886875,2.966202490881463e-06,-0.697629485354509,204.825,508.37,75.12
3.5663675651707942,3.5663675651707942,1.276086074312683,-0.9846244206240856,3.2497798403577345e-06,-0.7031022252853265,211.804,509.44,85.24
3.5675476903910615,3.5675476903910615,1.2429152947083237,-0.8666118985973441,3.5418813381367943e-06,-0.692225087854693,218.488,509.54999999999995,96.24000000000001
3.582996602365472,3.582996602365472,1.2051583242104382,-0.7350815785929944,3.858405353691647e-06,-0.6568298625880293,225.561,510.99000000000007,108.5
5.546724968890449,5.546724968890449,1.1176320832263644,-0.6524728131742754,4.181669177598279e-06,-0.4401255691446854,232.136,694.0300000000001,116.2
5.573009576069132,5.573009576069132,1.0938994876049661,-0.5233027436104606,4.492673340510542e-06,-0.3856476115315404,239.228,696.48,128.23999999999998
5.59156972726061,5.59156972726061,1.0703334520254384,-0.3932744011591779,4.816294087549102e-06,-0.31648696815558985,245.741,698.21,140.36
7.459386098611126,7.459386098611126,1.0370020889467515,-0.2760128679089703,5.134162291629346e-06,-0.18319609170206919,252.137,872.3100000000001,151.29000000000002
7.481057489019673,7.481057489019673,1.0198293859011185,-0.14834477589822306,5.436117236052346e-06,-0.10569892176832696,258.539,874.33,163.19
7.494897139330081,7.494897139330081,0.9994092249715203,0.004427798070940373,5.757073484630755e-06,0.0034031457453672707,264.924,875.62,177.43
7.505625550423421,7.505625550423421,0.9783838503314596,0.16224272525397365,6.068963784939486e-06,0.13408605371374366,271.427,876.62,192.14000000000001
7.514100995187159,7.514100995187159,0.9576484501931808,0.31823382255113897,6.362474723375549e-06,0.2813774356208808,277.914,877.41,206.68
7.547788206020249,7.547788206020249,0.9324370908576394,0.509950528789127,6.653389470481916e-06,0.4820940229538119,284.395,880.5500000000001,224.55
9.342865950157918,9.342865950157918,0.9289745374507336,0.6635813756457575,6.9502468357024645e-06,0.5313864658680403,290.716,1047.8700000000001,238.87
9.370545250778735,9.370545250778735,0.911266528573945,0.8314810092565305,7.260217864343294e-06,0.7069548965227511,297.111,1050.45,254.52
9.38835441319368,9.38835441319368,0.8937338693040467,0.9976640970923687,7.529370774444444e-06,0.8952520725195938,303.6,1052.1100000000001,270.01
9.404017893389955,9.404017893389955,0.8731248961093879,1.1931357472130255,7.802710474481958e-06,1.1338237020723307,310.49,1053.57,288.22999999999996
9.415711861481695,9.415711861481695,0.8545960508047705,1.3690816891438038,8.06740808639405e-06,1.3726169158242447,317.283,1054.6599999999999,304.63
11.195555261866824,11.195555261866824,0.8595527383337297,1.572385079362599,8.316476303799781e-06,1.35887685710287,324.071,1220.5600000000002,323.58
11.228813336256177,11.228813336256177,0.8440129431160918,1.7515495446213796,8.564251252280725e-06,1.5828102615647262,330.913,1223.66,340.28000000000003
11.251772135995925,11.251772135995925,0.8308680013905295,1.9030347092593416,8.812069881049445e-06,1.7937903353768503,337.307,1225.8,354.4
11.268830309634334,11.268830309634334,0.8130352075466498,2.1068745200328043,9.038310434909641e-06,2.078441153478425,343.941,1227.3899999999999,373.40000000000003
11.286103051494614,11.286103051494614,0.794556779746196,2.318653355015338,9.244358932331197e-06,2.3902519198776386,351.107,1229.0,393.14
13.0571491547832,13.0571491547832,0.8111414359984124,2.465954439326898,9.428982183787674e-06,2.1953557742181213,358.062,1394.08,406.87
13.085043023625884,13.085043023625884,0.7933012844306071,2.704661586153716,9.600463864061265e-06,2.5014500650861073,364.746,1396.6799999999998,429.12
13.1066071299235,13.1066071299235,0.7822389635706886,2.8541083526839435,9.758068506313663e-06,2.716467998197666,371.736,1398.69,443.05
14.4280255242902,14.4280255242902,0.7860547457376119,3.086807589298491,9.900718997701246e-06,2.6947383179475333,378.444,1521.86,464.74
14.480165602203835,14.480165602203835,0.7732073047082922,3.2839957851940826,1.0010611625127576e-05,2.936254712231042,385.522,1526.72,483.12
14.52136270080226,14.52136270080226,0.7597765383045291,3.4883720165222116,1.01146713246408e-05,3.1980210456870366,392.076,1530.56,502.17
14.519538870916392,14.519538870916392,0.7482048272811683,3.6559497978001843,1.0201375075060243e-05,3.433093325965809,399.043,1530.3899999999999,517.79
14.53616790811107,14.53616790811107,0.7329864556183687,3.8813537148712602,1.0263138771804601e-05,3.738673530642815,405.779,1531.94,538.8
16.242843544839616,16.242843544839616,0.7505931047612081,4.051077178367901,1.0286581818635407e-05,3.418022917785607,412.645,1691.02,554.62
17.468779080475592,17.468779080475592,0.753712806925211,4.302336566173927,1.0301385820151918e-05,3.3661354498881417,419.421,1805.29,578.04
17.481975026120402,17.481975026120402,0.7459024077037625,4.4421277627201485,1.0306896471972381e-05,3.511126322325661,426.292,1806.52,591.0699999999999
17.51512581639882,17.51512581639882,0.7372383739296502,4.602302940343717,1.0276436462617158e-05,3.6626595286039527,433.115,1809.61,606.0
17.547632902011642,17.547632902011642,0.7232780443040452,4.855815294479344,1.024413789325022e-05,3.9193473306201723,440.064,1812.64,629.63
17.560936131767384,17.560936131767384,0.7128759106384153,5.042167795170662,1.0226839007969342e-05,4.119050445372838,446.778,1813.8799999999999,647.0
