# source: NF270_MC2.xlsx / 05.07.24_NaCl
# salt: NaCl, ICP molar mass = 22.99 g/mol [elemental cation]
# calibration: cond = -63.706000 + 76.685000 * c_mM (source: given (embedded MC5 05.27.26_NaCl formula), n=0, R^2=n/a (given, not fit))
# ionic strength: I = 1.0 * c_salt (valence-aware, z=1)
# CP: solution D_s = 1.607083e-09 m^2/s, k = 2.547335e-05 m/s
# apply_cp: True
# WARNING: calibration is APPROXIMATED (not fit from this run's own vial data) -- see process_raw_multisalt.py module docstring; PROVISIONAL
c_int_mM,ionic_strength_mM,rejection,c_p_mM,Jw_m3_m2_s,B_um_s,time_s,ret_cond_uS_cm,perm_cond_uS_cm
2.1532027294110234,2.1532027294110234,0.9814230218763742,0.04,8.224283015374507e-08,0.0015567428341656023,0.302,100.89,4.15
2.1537060321514487,2.1537060321514487,0.981427363157802,0.04,6.624042187211829e-08,0.001253540858842988,7.136,101.03,4.28
2.1505157683398357,2.1505157683398357,0.9813998108784483,0.04,2.461277138610626e-08,0.0004664787964217306,14.109,101.05,4.29
2.150176582567721,2.150176582567721,0.9813968767382666,0.04,1.7367842722283423e-08,0.0003292206513096597,20.77,101.07,4.460000000000001
2.1542972065339803,2.1542972065339803,0.9814324597930685,0.04,6.076186937047379e-08,0.0011495426316167202,27.746,101.11,4.7
2.1563335756586066,2.1563335756586066,0.9814499943554499,0.04,7.268865407110336e-08,0.0013738600550904651,34.438,101.19,4.98
2.158945683892083,2.158945683892083,0.981472438005995,0.04,8.208223686941992e-08,0.0015494920420735113,41.513,101.33,5.8100000000000005
2.160475079606694,2.160475079606694,0.9814855536277318,0.04,6.902628358077856e-08,0.0013020909181084377,48.078,101.53,7.07
2.160692818038019,2.160692818038019,0.9814874193749016,0.04,3.8676510805530946e-08,0.0007295070832806972,54.47,101.74,8.42
2.161110662972689,2.161110662972689,0.9814909987325783,0.04,3.11480771422242e-08,0.0005873918355315016,60.873,101.82,10.36
2.163304580588123,2.163304580588123,0.9815097696556786,0.04,4.1807102444909235e-08,0.0007875855932704541,67.338,101.92,11.94
2.1667397029622104,2.1667397029622104,0.9815390838385825,0.04,3.445353472889446e-08,0.0006480066118276,73.726,102.23,13.58
2.1680085180720474,2.1680085180720474,0.9815498879886455,0.04,4.3391026008798055e-08,0.0008156175248416741,80.241,102.27,14.83
2.1733359308407834,2.1733359308407834,0.9815951140215469,0.04,5.0853569780387004e-08,0.0009535032724142,86.73,102.63,16.48
2.5374527931349347,2.5374527931349347,0.9842361599363662,0.04,5.706684961229833e-08,0.0009140008534962539,93.772,130.45000000000002,17.71
2.549069743874693,2.549069743874693,0.9843080009497118,0.04,6.222266532006523e-08,0.0009919639017124545,100.263,131.3,18.880000000000003
2.5616407962537604,2.5616407962537604,0.9843850082109492,0.04,9.151060348059688e-08,0.0014516041081909573,106.659,132.04,20.0
