# source: NF270_MC2.xlsx / 05.07.24_NaCl
# salt: NaCl, ICP molar mass = 22.99 g/mol [elemental cation]
# calibration: cond = -63.706000 + 76.685000 * c_mM (source: given (embedded MC5 05.27.26_NaCl formula), n=0, R^2=n/a (given, not fit))
# ionic strength: I = 1.0 * c_salt (valence-aware, z=1)
# CP: solution D_s = 1.607083e-09 m^2/s, k = 2.547335e-05 m/s
# apply_cp: False
# WARNING: calibration is APPROXIMATED (not fit from this run's own vial data) -- see process_raw_multisalt.py module docstring; PROVISIONAL
c_int_mM,ionic_strength_mM,rejection,c_p_mM,Jw_m3_m2_s,B_um_s,time_s,ret_cond_uS_cm,perm_cond_uS_cm
2.1463910803938187,2.1463910803938187,0.9813640671705266,0.04,8.224283015374507e-08,0.0015617770302819294,0.302,100.89,4.15
2.1482167307817694,2.1482167307817694,0.9813799048174048,0.04,6.624042187211829e-08,0.001256804784915164,7.136,101.03,4.28
2.1484775379800483,2.1484775379800483,0.9813821651411785,0.04,2.461277138610626e-08,0.00046692973375823867,14.109,101.05,4.29
2.148738345178327,2.148738345178327,0.9813844249162499,0.04,1.7367842722283423e-08,0.00032944519194608185,20.77,101.07,4.460000000000001
2.1492599595748842,2.1492599595748842,0.9813889428210854,0.04,6.076186937047379e-08,0.0011522879215460989,27.746,101.11,4.7
2.150303188367999,2.150303188367999,0.9813979720551135,0.04,7.268865407110336e-08,0.001377785987753107,34.438,101.19,4.98
2.1521288387559494,2.1521288387559494,0.9814137521510459,0.04,8.208223686941992e-08,0.0015544929904515979,41.513,101.33,5.8100000000000005
2.154736910738736,2.154736910738736,0.9814362487593502,0.04,6.902628358077856e-08,0.0013056240373024136,48.078,101.53,7.07
2.1574753863206624,2.1574753863206624,0.9814598116606023,0.04,3.8676510805530946e-08,0.00073061554444296,54.47,101.74,8.42
2.158518615113777,2.158518615113777,0.981468772277467,0.04,3.11480771422242e-08,0.0005881105206253071,60.873,101.82,10.36
2.1598226511051704,2.1598226511051704,0.9814799608757079,0.04,4.1807102444909235e-08,0.0007888792474806906,67.338,101.92,11.94
2.16386516267849,2.16386516267849,0.981514559830296,0.04,3.445353472889446e-08,0.000648883654844524,73.726,102.23,13.58
2.1643867770750473,2.1643867770750473,0.9815190147973201,0.04,4.3391026008798055e-08,0.0008170080227771103,80.241,102.27,14.83
2.1690813066440633,2.1690813066440633,0.9815590130819546,0.04,5.0853569780387004e-08,0.0009554086942887924,86.73,102.63,16.48
2.531864119449697,2.531864119449697,0.9842013638517481,0.04,5.706684961229833e-08,0.0009160507455743772,93.772,130.45000000000002,17.71
2.5429484253765406,2.5429484253765406,0.9842702275827411,0.04,6.222266532006523e-08,0.0009943898913650933,100.263,131.3,18.880000000000003
2.552598291712851,2.552598291712851,0.9843296925607675,0.04,9.151060348059688e-08,0.0014568282368482173,106.659,132.04,20.0
2.5604225076612113,2.5604225076612113,0.9843775783565746,0.04,1.4067199797873343e-07,0.00223251454946366,113.144,132.64000000000001,21.37
2.5649866336310887,2.5649866336310887,0.9844053768251515,0.04,2.1738727749938324e-07,0.003443777081493169,119.724,132.99,22.83
2.573593271174284,2.573593271174284,0.9844575285271286,0.04,2.948091673398193e-07,0.004654404014945612,126.695,133.64999999999998,24.23
2.872869531199061,2.872869531199061,0.5940373843653827,1.1662776292625676,4.0375684305150674e-07,0.27592570501378894,133.495,156.6,25.73
3.068735737106344,3.068735737106344,0.6145942224828536,1.1827084827541239,5.386246754008346e-07,0.3377660482621453,140.256,171.62,26.99
3.20305144421986,3.20305144421986,0.6244452948792065,1.2029210406207211,6.657533651403942e-07,0.4003982587087027,147.129,181.92,28.54
3.3515811436395646,3.3515811436395646,0.6349410153453481,1.2235248092847364,8.227923458492038e-07,0.47306400295145173,154.013,193.31,30.12
3.4866792723479163,3.4866792723479163,0.6409700197474717,1.2518223902979724,9.509399072155578e-07,0.5326550783817523,160.75,203.67,32.29
3.6341657429745062,3.6341657429745062,0.6488305835241095,1.2762078633370282,1.0966965524273518e-06,0.5935698750130252,167.557,214.98000000000002,34.160000000000004
3.775784051639825,3.775784051639825,0.6534712964433975,1.3084175523244443,1.3177199563642994e-06,0.6987725254572612,174.434,225.84,36.63
3.9297907022233813,3.9297907022233813,0.6592203241349102,1.3391928017213275,1.518993424515621e-06,0.7852338101482744,181.238,237.65,38.989999999999995
4.0581078437764875,4.0581078437764875,0.6603876656512293,1.3781834778639892,1.743583433979001e-06,0.8966588428957462,188.275,247.48999999999998,41.980000000000004
4.208724000782422,4.208724000782422,0.6643304642040491,1.4127404316359133,1.9643018745803203e-06,0.9925125128703585,194.773,259.04,44.63
4.359992175784051,4.359992175784051,0.6675719165176194,1.4493838429940669,2.1971186379331095e-06,1.0940902694073185,201.262,270.64,47.440000000000005
4.49795918367347,4.49795918367347,0.6661718745470044,1.501545282649801,2.5030214462368263e-06,1.2542993622090064,208.312,281.22,51.44
4.639707895937929,4.639707895937929,0.6685572631507943,1.5377974832105366,2.7503053539455153e-06,1.3634863966426145,214.909,292.09000000000003,54.22
4.787455173762796,4.787455173762796,0.6701513921650877,1.5791354241377062,3.0254159648514568e-06,1.4891101559958217,221.42,303.42,57.38999999999999
4.929334289626394,4.929334289626394,0.6684020888557325,1.634556953771924,3.292095690597635e-06,1.6332265749768506,228.477,314.3,61.64
5.063780400339049,5.063780400339049,0.6678581361571504,1.681893460259503,3.5671105720315964e-06,1.774009613396881,235.048,324.61,65.27
5.196661667862033,5.196661667862033,0.6687979603820269,1.7211449436004431,3.866025788106474e-06,1.9145327917943153,241.443,334.8,68.27999999999999
5.330194953380714,5.330194953380714,0.6677741188904601,1.7708287148725304,4.144933920875166e-06,2.062155877337109,247.822,345.04,72.09
5.47024841885636,5.47024841885636,0.6666968623505909,1.8232509617265436,4.4386032515001715e-06,2.219000079421275,254.324,355.78,76.11
5.602347264784508,5.602347264784508,0.6635926036274253,1.884671056921171,4.711746890709242e-06,2.388613880271647,260.716,365.91,80.82000000000001
5.736402164699745,5.736402164699745,0.663020350264608,1.9330507922018645,4.997195236405733e-06,2.5398211378448887,267.21,376.19,84.53
5.873977961791745,5.873977961791745,0.6594797156595907,2.000208645758623,5.303228790656227e-06,2.738305565487093,273.678,386.73999999999995,89.67999999999999
6.031244702353785,6.031244702353785,0.657894167859444,2.0633239877420615,5.568954660349295e-06,2.895863744210686,280.745,398.8,94.52000000000001
6.160213861902588,6.160213861902588,0.6550013124581918,2.1252656973332464,5.871834315520197e-06,3.092780264385689,287.354,408.69,99.27
