# source: NF270_MC5.xlsx / 05.27.26_NaCl
# salt: NaCl, ICP molar mass = 22.99 g/mol [elemental cation]
# calibration: cond = -63.706000 + 76.685000 * c_mM (source: given (embedded MC5 05.27.26_NaCl formula), n=0, R^2=n/a (given, not fit))
# ionic strength: I = 1.0 * c_salt (valence-aware, z=1)
# CP: solution D_s = 1.607083e-09 m^2/s, k = 2.547335e-05 m/s
# apply_cp: True
c_int_mM,ionic_strength_mM,rejection,c_p_mM,Jw_m3_m2_s,B_um_s,time_s,ret_cond_uS_cm,perm_cond_uS_cm
2.424810199094194,2.424810199094194,0.9835038635127227,0.04,1.6357347620797376e-07,0.002743589007965544,0.285,121.07,72.96
2.4653198069923197,2.4653198069923197,0.9837749245000389,0.04,1.493235093120285e-07,0.002462743410275565,7.027,124.25999999999999,73.07
2.413657441375084,2.413657441375084,0.9834276400145616,0.04,1.3685833285615513e-07,0.0023062861636323003,13.417,120.41,73.13
2.4100884027683795,2.4100884027683795,0.9834030984282346,0.04,9.993473027438298e-08,0.0016865992029268498,19.876,120.39999999999999,73.51
2.4101467450102896,2.4101467450102896,0.9834035001881891,0.04,9.352741085279262e-08,0.0015784239697341877,26.271,120.45,73.98
2.4119609600820864,2.4119609600820864,0.9834159836489896,0.04,8.771073689901734e-08,0.0014791261471012059,32.766,120.63,74.66000000000001
2.4137083402548045,2.4137083402548045,0.9834279894828646,0.04,1.0365916913102678e-07,0.001746788640762825,39.865,120.64999999999999,75.13
2.4134168223527284,2.4134168223527284,0.9834259877408968,0.04,9.631553298637724e-08,0.0016232383975588623,46.543,120.67999999999999,75.66000000000001
2.41345769722888,2.41345769722888,0.9834262684421907,0.04,8.973072609959097e-08,0.0015122363664514548,53.596,120.73,76.13000000000001
2.4121173427738665,2.4121173427738665,0.9834170588260017,0.04,8.376962421033165e-08,0.00141257133784747,60.184,120.67,76.57
2.4130550640547246,2.4130550640547246,0.9834235030124896,0.04,7.838749451832551e-08,0.0013212924673460984,67.255,120.78,76.98
2.412728643491615,2.412728643491615,0.9834212603610021,0.04,7.347923946304546e-08,0.0012387297580715554,73.746,120.78999999999999,77.31
2.4127063553669186,2.4127063553669186,0.983421107209743,0.04,6.902817569438295e-08,0.0011637036422690128,80.354,120.82,77.63000000000001
2.4125879825870786,2.4125879825870786,0.983420293772206,0.04,6.494982871840867e-08,0.0010950039230593616,87.318,120.84,77.91
2.4126337419153723,2.4126337419153723,0.983420608231963,0.04,6.123050062826898e-08,0.0010322790162941714,94.092,120.87,78.25
2.412971957324076,2.412971957324076,0.9834229320906162,0.04,5.784527702936458e-08,0.000975068868400701,100.888,120.92,78.5
2.413074918113332,2.413074918113332,0.9834236393989483,0.04,5.474175089936095e-08,0.0009227142469295885,107.675,120.95,78.82000000000001
2.412678888946638,2.412678888946638,0.9834209184723028,0.04,5.189313581992889e-08,0.0008748446502673118,114.631,120.94000000000001,79.05
2.4133487182126987,2.4133487182126987,0.9834255200261222,0.04,4.926519660229759e-08,0.0008303069199101566,121.415,121.01,79.32000000000001
2.4140370131606756,2.4140370131606756,0.9834302457742234,0.04,4.683714819592023e-08,0.0007891561578235642,128.29,121.08,79.5
2.4106650023937206,2.4106650023937206,0.22419902576274442,1.8701962574167046,3.434690548688994e-08,0.11885137612936066,135.08,121.1,79.71000000000001
2.413511143013805,2.413511143013805,0.22511389150606986,1.8701962574167046,3.3099352144438775e-08,0.11393445337949219,141.872,121.32,80.49000000000001
4.592271523354147,4.592271523354147,0.5927513763274317,1.8701962574167046,6.015266293706798e-08,0.0413277643371153,148.757,287.96,80.21000000000001
4.3010429405299115,4.3010429405299115,0.5643574871255262,1.8737171545934665,1.1101932938141355e-07,0.08569876493655953,155.639,265.31,79.97999999999999
5.098009732436315,5.098009732436315,0.631872723695881,1.8767164373736713,1.992717720006875e-07,0.11609517537303168,162.492,325.31,79.27
6.244907282254737,6.244907282254737,0.6994804962586925,1.8767164373736713,2.8560370802636874e-07,0.12270461444148528,169.284,411.45,79.39999999999999
6.803447800721927,6.803447800721927,0.7218520778435915,1.8923648692703916,3.930510649379848e-07,0.151452548755498,176.15,452.25,81.41
7.735327733844509,7.735327733844509,0.7487691868527964,1.9433526765338724,5.283552262701999e-07,0.1772764096828852,182.846,520.36,85.32
8.320924287248193,8.320924287248193,0.7564826579792612,2.02628936558649,6.485277203270411e-07,0.20876585208532253,189.959,562.25,91.67999999999999
9.167946173690996,9.167946173690996,0.7677158028898544,2.129569016104844,8.131863258581568e-07,0.2460420015999222,196.606,622.38,99.6
