B,Lp,Obj_mass,Obj_concentration,Obj_retentate_concentration
1e-06,0.366,-1.0390740268313,-0.420678185080543,0.303132876467496
1e-06,0.507918367346939,-1.07226815917283,-0.341904953043152,0.275689334855625
1e-06,0.649836734693878,-1.10671562325887,-0.287469299003025,0.246794081882578
1e-06,0.791755102040816,-1.14252416573321,-0.248871957697835,0.216302294029301
1e-06,0.933673469387755,-1.17981114455253,-0.220795400686133,0.184050678353021
1e-06,1.07559183673469,-1.21870671036127,-0.199883921512439,0.149852839367667
1e-06,1.21751020408163,-1.25935699063034,-0.183969735620696,0.113493799585201
1e-06,1.35942857142857,-1.30192757481931,-0.171617552962124,0.074723241103937
1e-06,1.50134693877551,-1.34660756237223,-0.161855064894456,0.0332469208805735
1e-06,1.64326530612245,-1.39361444214327,-0.154009793808828,-0.0112844868309834
1e-06,1.78518367346939,-1.44320011437358,-0.147607804347654,-0.0592901894260484
1e-06,1.92710204081633,-1.49565844432108,-0.142309298084307,-0.111279300854534
1e-06,2.06902040816327,-1.55133485527241,-0.13786675966929,-0.167878517705126
1e-06,2.2109387755102,-1.61063863724459,-0.134097222424259,-0.229871275883877
1e-06,2.35285714285714,-1.67405887713747,-0.130863562270641,-0.298254644257521
1e-06,2.49477551020408,-1.74218521221326,-0.128061676689507,-0.374324578935639
1e-06,2.63669387755102,-1.81573494922771,-0.125611566777532,-0.459808407033195
1e-06,2.77861224489796,-1.89558836130103,-0.123451047846622,-0.557079887794858
1e-06,2.9205306122449,-1.98283376901601,-0.121531257095078,-0.66952752570262
1e-06,3.06244897959184,-2.07882208567312,-0.119813405556853,-0.802229173825048
1e-06,3.20436734693878,-2.18522301606513,-0.118266402764499,-0.963300489109709
1e-06,3.34628571428571,-2.30405030345226,-0.116865100761206,-1.166930262874
1e-06,3.48820408163265,-2.43754449243089,-0.115588982420349,-1.44150104643604
1e-06,3.63012244897959,-2.58755263504493,-0.114421172116777,-1.8583749166439
1e-06,3.77204081632653,-2.75328493917045,-0.113347682340484,-2.71520415350435
1e-06,3.91395918367347,-2.9244297942831,-0.112356834985918,-2.89030264097196
1e-06,4.05587755102041,-3.06588133209654,-0.11143881289726,-1.8891092918513
1e-06,4.19779591836735,-3.11285762513779,-0.110585309617715,-1.42193366011373
1e-06,4.33971428571429,-3.03411355512575,-0.109789253614878,-1.11201269507655
1e-06,4.48163265306122,-2.88016356101167,-0.109044589596944,-0.878052924459344
1e-06,4.62355102040816,-2.71005024308797,-0.108346103843614,-0.688911292107552
1e-06,4.7654693877551,-2.54997900630692,-0.107689283725322,-0.529323820346883
1e-06,4.90738775510204,-2.40639503064008,-0.107070204077208,-0.390665530253182
1e-06,5.04930612244898,-2.27892784135823,-0.106485434615194,-0.267582881397601
