dataset_id,metric,paper_value,paper_units,target_id,notes,unified_value,param_rel_primary_limit,param_rel_with_expl_limit,objective_rel_limit,relative_error,status
DATA1_511.12,objective,,,D1-M-T1,Fill from DATA1 publication baseline,,0.05,0.07,0.05,,MISSING_VALUE
DATA1_511.12,theta.B,,,D1-M-T1,Fill from DATA1 publication baseline,,0.05,0.07,0.05,,MISSING_VALUE
DATA1_511.12,theta.Lp,,,D1-M-T1,Fill from DATA1 publication baseline,,0.05,0.07,0.05,,MISSING_VALUE
DATA1_511.12,theta.sigma,,,D1-M-T1,Fill from DATA1 publication baseline,,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270511.123,objective,,,D2-M-T2,Fill from DATA2 publication baseline,403661.23990446766,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270511.123,theta.B,,,D2-M-T2,Fill from DATA2 publication baseline,2.889562703895721,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270511.123,theta.Lp,,,D2-M-T2,Fill from DATA2 publication baseline,6.491272055398287,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270511.123,theta.sigma,,,D2-M-T2,Fill from DATA2 publication baseline,0.001000002071045898,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270511.123,theta.sigma_logit,,,,,-19.99321008787239,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270611.123,objective,,,D2-M-T2,Fill from DATA2 publication baseline,150656.42954687614,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270611.123,theta.B,,,D2-M-T2,Fill from DATA2 publication baseline,19.98919260535834,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270611.123,theta.Lp,,,D2-M-T2,Fill from DATA2 publication baseline,7.951854568984934,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270611.123,theta.sigma,,,D2-M-T2,Fill from DATA2 publication baseline,0.6183715649430225,0.05,0.07,0.05,,MISSING_VALUE
DATA2_270611.123,theta.sigma_logit,,,,,0.48364739167001747,0.05,0.07,0.05,,MISSING_VALUE
