dataset_id,metric,unified_value
DATA1_511.12,objective,958095.4385655219
DATA1_511.12,objective_legacy,958095.4385655061
DATA1_511.12,theta.Lp,3.291339024760566
DATA1_511.12,theta.B,0.28400173092751557
DATA1_511.12,theta.sigma,0.9809652704835261
DATA1_511.12,nrmse.mass,0.033516050638701556
DATA1_511.12,nrmse.cF,0.017650981753564287
DATA1_511.12,nrmse.cV,0.08409401437147704
DATA2_270511.123,objective,173080.33526655097
DATA2_270511.123,objective_legacy,77393271777631.67
DATA2_270511.123,theta.Lp,20.632948710525483
DATA2_270511.123,theta.beta_0,4.999586208075728
DATA2_270511.123,theta.beta_1,0.10000000021085625
DATA2_270511.123,nrmse.mass,689.0762987082277
DATA2_270511.123,nrmse.cF,80.57279194593198
DATA2_270511.123,nrmse.cV,inf
DATA2_270611.123,objective_legacy,41445732405011.984
DATA2_270611.123,theta.Lp,11.113241068147595
DATA2_270611.123,theta.sigma,1.0
DATA2_270611.123,theta.beta_0,1.0649294788103598
DATA2_270611.123,theta.beta_1,0.015171421224603474
DATA2_270611.123,nrmse.mass,617.4649254956461
DATA2_270611.123,nrmse.cF,0.3149291428554103
DATA2_270611.123,nrmse.cV,inf
